class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Left,0.627483606,0.15172264,-0.647896469,0.998232424,0.648522675,0.121703386,-0.603666365,0.99526298,0.657341361,0.125702918,-0.603758156,0.993551493,0.665696561,0.129591405,-0.603951335,0.990557909,0.617490172,0.107537337,-0.628747046,0.996863604,0.603472292,0.102638073,-0.628791511,0.99704653,0.590679586,0.099772625,-0.62899071,0.997014999,0.668488026,0.142548174,-0.400413603,0.98737061,0.562514603,0.107333183,-0.520775139,0.998901606,0.630481839,0.19045344,-0.574555993,0.99911207,0.594869554,0.181030422,-0.608928323,0.99975878,0.653463721,0.333022922,-0.293733388,0.997984171,0.434332669,0.255450845,-0.446183294,0.998712063,0.681319952,0.532634616,-0.286046356,0.378808141,0.270828843,0.458895326,-0.50757134,0.976427615,0.660585046,0.611505926,-0.426930666,0.192348555,0.278528124,0.713316083,-0.56561178,0.762794077,0.654205263,0.6439569,-0.468562692,0.186585724,0.262589604,0.779485703,-0.601419687,0.64245683,0.641630352,0.612371683,-0.473426044,0.185949072,0.298227102,0.784166873,-0.619906962,0.642805576,0.635252237,0.608046114,-0.43285647,0.190992534,0.311952084,0.76821214,-0.571583092,0.654451311,0.532412589,0.639883101,0.023854151,0.995338798,0.409982055,0.610096812,-0.023739837,0.992574453,0.570892513,0.726534903,-0.341608733,0.206334859,0.384633899,0.715892196,-0.315920591,0.22731854,0.507205606,0.887299597,0.189001381,0.075066924,0.363795102,0.868305147,0.192656904,0.079990558,0.48431015,0.905215383,0.237145215,0.107589103,0.366314769,0.890141845,0.23954232,0.10914889,0.522029757,0.995118558,0.145659029,0.049161516,0.33394444,0.96694243,0.124182299,0.05863345
Left,0.641351819,0.151721045,-0.970538974,0.998357892,0.663978159,0.121710427,-0.934946716,0.995574474,0.673015475,0.12573798,-0.934919059,0.993973792,0.681247413,0.129660442,-0.935123265,0.991285086,0.629706383,0.107273228,-0.947289348,0.997026086,0.616442621,0.102099337,-0.947431564,0.997166693,0.605373204,0.098784521,-0.947630584,0.997168303,0.689582884,0.145029753,-0.716147125,0.988143265,0.577360988,0.105242737,-0.779393435,0.998852074,0.646435559,0.192479983,-0.886622906,0.99913311,0.60874927,0.182095826,-0.904746711,0.999738991,0.687496483,0.366258442,-0.524648786,0.997820556,0.442603201,0.253495753,-0.645101905,0.998559654,0.694346488,0.629090607,-0.403768361,0.432586282,0.276599139,0.452925116,-0.604301155,0.977528393,0.660643041,0.887796581,-0.438322127,0.244349793,0.199240044,0.713329554,-0.644587278,0.772444963,0.655449212,0.933535159,-0.471921265,0.221527979,0.185435385,0.771772087,-0.685082018,0.64920336,0.637689173,0.92608583,-0.505708992,0.223936051,0.206349939,0.782426834,-0.734887898,0.651219606,0.631531179,0.930400252,-0.454325438,0.235046059,0.210742742,0.767594039,-0.66608876,0.66611743,0.539058983,0.670846999,0.023958556,0.995322883,0.410474628,0.620174527,-0.023844037,0.992766261,0.520749748,0.90435499,0.089757524,0.214440718,0.347110897,0.891809046,0.034214925,0.236386105,0.476633787,1.084781408,0.764421523,0.070917949,0.318010032,1.058103681,0.726081192,0.075540677,0.461905301,1.101165175,0.824294448,0.101903275,0.32170105,1.078432322,0.790160418,0.101616807,0.471388727,1.217809796,0.692263305,0.046612754,0.289944053,1.177154541,0.611688077,0.05506818
Left,0.651243806,0.153861269,-1.09498322,0.998514473,0.674604595,0.122373722,-1.056288481,0.995984375,0.684231222,0.126459673,-1.056247354,0.994525909,0.692315817,0.130348504,-1.056299925,0.99209857,0.639701128,0.108122416,-1.067855597,0.997304916,0.627075613,0.103303999,-1.068109751,0.997429311,0.615221083,0.099997833,-1.068307638,0.997433245,0.698707044,0.145515025,-0.822412193,0.989219546,0.583448291,0.106472291,-0.878321826,0.998951316,0.658123374,0.196777001,-1.00623107,0.999206841,0.619054794,0.186619729,-1.021750093,0.999759257,0.702848911,0.375353813,-0.625286162,0.997857809,0.444036335,0.257159799,-0.73536092,0.998612106,0.692776561,0.634250343,-0.489278376,0.484772235,0.283774346,0.497118056,-0.705514193,0.979457498,0.651669621,0.904657781,-0.506793499,0.303405821,0.215817243,0.783022702,-0.751262426,0.791358531,0.64932555,0.974171281,-0.544491231,0.266948819,0.189903706,0.842297316,-0.798590064,0.672169507,0.626132131,0.96860373,-0.578925312,0.270559967,0.211644337,0.854605973,-0.843249321,0.675159216,0.613549173,0.945762217,-0.521804988,0.286424071,0.223327488,0.838769495,-0.77029711,0.690688729,0.550783873,0.727594912,0.010332568,0.995178878,0.412587702,0.674040079,-0.009959316,0.993099809,0.500890076,1.005932927,0.141761631,0.252747506,0.352299064,0.969506979,0.178504735,0.264126033,0.467610031,1.168156981,0.935338616,0.070709392,0.304659456,1.151080608,0.816607773,0.080899216,0.458378881,1.185182571,1.00402391,0.097313903,0.306429386,1.179651499,0.873755932,0.101585798,0.444216162,1.300891519,0.849192977,0.044818383,0.260650069,1.272531748,0.639477134,0.057368636
Left,0.662198901,0.154674724,-1.070332766,0.998633385,0.684338927,0.12227051,-1.03332603,0.99627018,0.694827437,0.126322016,-1.033393979,0.994909704,0.703614235,0.130121171,-1.033511043,0.992661059,0.649853349,0.108133875,-1.049704432,0.99751997,0.637828887,0.103368714,-1.050065041,0.997632802,0.626046777,0.100017734,-1.050448179,0.997638762,0.708317876,0.144956112,-0.783962607,0.989950657,0.592526078,0.106510401,-0.858089924,0.999032259,0.670043766,0.19926627,-0.973498046,0.999260306,0.63027966,0.188368216,-0.994804978,0.999774396,0.711217761,0.378047377,-0.563372076,0.997627497,0.448702276,0.259187907,-0.703545928,0.998685479,0.693298757,0.64373529,-0.500098348,0.52080071,0.293705076,0.516563833,-0.664942861,0.981075823,0.651672721,0.857341945,-0.654971719,0.317694813,0.23077862,0.802229762,-0.71774292,0.806082845,0.645991802,0.916171968,-0.704596758,0.271094859,0.205878928,0.872370183,-0.754927754,0.687068224,0.626401365,0.901072502,-0.727656245,0.275847673,0.229424,0.885406494,-0.803049743,0.691473424,0.615297139,0.88239038,-0.667224288,0.296358883,0.242930129,0.863604367,-0.734504342,0.707931936,0.555290103,0.767231762,0.009019873,0.993663907,0.412015498,0.72750932,-0.008580919,0.99259603,0.502093136,1.090587378,0.108306661,0.286250561,0.343866885,1.063390255,0.134374619,0.29545629,0.467247725,1.304774642,0.864583969,0.068792403,0.29063642,1.257457852,0.795469105,0.080717333,0.458607256,1.334321618,0.928040624,0.091749184,0.28800559,1.287423372,0.856348515,0.100147016,0.440901339,1.434736371,0.7442981,0.041918028,0.253971964,1.37561357,0.615659297,0.056087133
Left,0.661861062,0.154550791,-0.618257403,0.998767436,0.684329033,0.122267336,-0.596261084,0.996633887,0.694696367,0.126360372,-0.596406102,0.995404661,0.703754544,0.130299881,-0.596566796,0.993380904,0.651432693,0.108020112,-0.609122694,0.997762799,0.639420986,0.103128694,-0.609468699,0.997864246,0.627287388,0.099387869,-0.609863877,0.997871041,0.708697319,0.145940483,-0.42645511,0.990937173,0.595748425,0.104444526,-0.485494077,0.99912703,0.668688118,0.199547485,-0.550611138,0.999333084,0.62962836,0.188247994,-0.568096042,0.999796569,0.714004219,0.382341266,-0.280021608,0.99781245,0.45058459,0.260485142,-0.41755271,0.998808384,0.691892207,0.652595222,-0.102605745,0.566880941,0.305869162,0.519064128,-0.382099599,0.982886732,0.65335542,0.909193933,-0.096987233,0.377772242,0.238147169,0.806045175,-0.43097201,0.824251831,0.652635157,0.968585372,-0.112869106,0.328434527,0.212070346,0.880098164,-0.449821234,0.714600563,0.630230069,0.969376802,-0.147833019,0.333494693,0.236547023,0.894198716,-0.499112904,0.718942583,0.622832656,0.945796549,-0.110232987,0.355256379,0.25169313,0.874062598,-0.447489202,0.734308541,0.553292155,0.796463907,0.015029134,0.994168043,0.399558097,0.751604676,-0.014619698,0.993250847,0.492080033,1.1574893,0.028255939,0.339272082,0.335562766,1.115496755,0.070953339,0.345406324,0.457576752,1.388468266,0.6142658,0.072819017,0.279256761,1.345707297,0.523963153,0.091975503,0.451687247,1.414852858,0.66440767,0.09408664,0.271924078,1.376390457,0.573611438,0.104624353,0.425196648,1.521168828,0.526636958,0.042364854,0.254607767,1.464597225,0.467663825,0.059998188
Left,0.665767372,0.154605433,-0.606479526,0.998871863,0.688056827,0.122812636,-0.582178771,0.996908724,0.69882822,0.127373964,-0.582312942,0.995771706,0.70845437,0.131853342,-0.582460523,0.993938744,0.655133247,0.108121917,-0.59643656,0.997958481,0.642979741,0.103154942,-0.59675467,0.998049676,0.630663753,0.099360541,-0.597173333,0.998063087,0.71408546,0.14860709,-0.397713184,0.991704643,0.599927604,0.104346193,-0.464004815,0.999205112,0.673795938,0.201022357,-0.532188118,0.999391377,0.633685827,0.1881295,-0.551721573,0.999814808,0.718404233,0.389262348,-0.245618463,0.997862935,0.452650636,0.261961371,-0.378051668,0.998918355,0.689126611,0.658198416,-0.06744273,0.603315771,0.310508251,0.520147741,-0.319858015,0.984428346,0.649093747,0.894468963,-0.085742854,0.415028036,0.242089152,0.803242564,-0.376652539,0.840036035,0.635626674,0.952359796,-0.1059158,0.360177219,0.214875266,0.880497873,-0.39767921,0.737706244,0.62997371,0.95457387,-0.134123221,0.365341276,0.238965482,0.894374251,-0.442984253,0.742213726,0.623299837,0.93125701,-0.096045308,0.391218781,0.255696774,0.869520426,-0.391453743,0.756763637,0.551541924,0.833728492,0.018188864,0.994393528,0.389072627,0.788053334,-0.017727442,0.993730903,0.486835063,1.208315492,0.017804258,0.378495663,0.335429102,1.173715353,0.091530636,0.378369927,0.453590482,1.456167579,0.630659163,0.070865929,0.285046101,1.422935367,0.570453346,0.0918952,0.449963152,1.489667892,0.682144642,0.090095855,0.277542889,1.458432913,0.614542723,0.1020419,0.412594706,1.586836696,0.51435256,0.040276483,0.263969362,1.54650557,0.398909867,0.058864221
Left,0.678940535,0.175428703,-0.590630233,0.998928308,0.702392757,0.14567861,-0.572603643,0.997063637,0.712587416,0.150618166,-0.572580934,0.995962143,0.721725404,0.155212119,-0.572843432,0.994337142,0.670023859,0.131006688,-0.585734963,0.998092473,0.658536911,0.12624447,-0.585895479,0.99816525,0.64649713,0.121529914,-0.586313725,0.998207092,0.726639152,0.169446886,-0.3898049,0.992293298,0.619200349,0.121509872,-0.447874844,0.999254227,0.685146391,0.220165446,-0.513801575,0.999434233,0.646421611,0.204489231,-0.530700862,0.999827623,0.731400549,0.4136042,-0.225949615,0.997945666,0.468373775,0.261840314,-0.366348207,0.999019086,0.709158301,0.707679331,-0.031466164,0.637315631,0.315073043,0.512560248,-0.305258721,0.985607743,0.632549405,0.946838796,-0.008191647,0.415061265,0.246856332,0.793090224,-0.340372682,0.848690629,0.627867103,0.984751701,-0.009267814,0.354446858,0.21845524,0.87112695,-0.353607774,0.746229827,0.617905319,0.965646863,-0.03402596,0.360456675,0.243369535,0.888082623,-0.394179612,0.751829863,0.614935577,0.937977016,-0.014579823,0.390651405,0.260050803,0.865189195,-0.353418678,0.767039061,0.550454676,0.86947304,0.032617342,0.993788898,0.382679999,0.801906288,-0.031867541,0.993660986,0.484564602,1.257561207,0.016699711,0.3812401,0.339459211,1.209413409,0.038155593,0.367881387,0.441931099,1.530508876,0.561586857,0.065812454,0.286842197,1.492646813,0.514086127,0.085198,0.43759799,1.565051317,0.608268559,0.08388523,0.276201159,1.534578085,0.513228536,0.09432929,0.392941326,1.666160107,0.457018048,0.037343483,0.267573297,1.615048647,0.237005502,0.054594178
Left,0.686847329,0.189773038,-0.537790656,0.998991549,0.712479413,0.160216436,-0.520740032,0.997236311,0.722755313,0.165892929,-0.520703316,0.996227801,0.731675446,0.171191588,-0.52107656,0.994773567,0.679499745,0.143625274,-0.532752812,0.998210013,0.667695343,0.1379226,-0.532793403,0.998268902,0.655413747,0.132567585,-0.533138931,0.998321712,0.737691164,0.187335223,-0.331482351,0.992910326,0.627667308,0.132655933,-0.38532418,0.999288857,0.692271531,0.23299019,-0.45674029,0.999472618,0.653948009,0.215630636,-0.472499937,0.999836743,0.738106668,0.437245041,-0.191052347,0.998114347,0.47671324,0.263399988,-0.302319229,0.999107659,0.703527331,0.730367005,-0.03787037,0.668561876,0.32432127,0.509569764,-0.248777121,0.985622764,0.608376205,0.975994229,-0.070487007,0.41763401,0.252839148,0.7872926,-0.275862306,0.8371346,0.586051226,1.074906468,-0.089274056,0.352525502,0.227364376,0.868265986,-0.291869342,0.725201249,0.566860735,1.057563901,-0.12134216,0.361915439,0.245519206,0.885117114,-0.333262086,0.733741045,0.579046726,0.996877372,-0.082412899,0.394240022,0.260596544,0.863506377,-0.290913284,0.751403987,0.549275398,0.902477026,0.037024226,0.992689192,0.372552931,0.831370115,-0.036107808,0.992716074,0.46953243,1.291844845,0.048655909,0.357483,0.323017269,1.235673308,0.091167338,0.339820772,0.416642904,1.585552812,0.534919441,0.060166873,0.262729794,1.536226273,0.476346165,0.077552564,0.412714005,1.628149748,0.57849443,0.076748952,0.250248373,1.584300637,0.500368297,0.085761949,0.362008601,1.713056803,0.405191481,0.034222312,0.242210716,1.654362321,0.239934444,0.049791384
Left,0.687500834,0.193511888,-0.475804985,0.999041378,0.714269817,0.164362341,-0.457200766,0.997371018,0.724804699,0.16974476,-0.45725733,0.996462464,0.73437804,0.175097153,-0.457578808,0.995123923,0.682488739,0.14786461,-0.472514451,0.998304665,0.670398355,0.141855851,-0.472544342,0.998367548,0.658450782,0.136372998,-0.472972482,0.998416305,0.740326405,0.192999318,-0.256309599,0.993439019,0.629440308,0.138520911,-0.323809683,0.999324679,0.69147706,0.236640409,-0.390167415,0.999502182,0.653508067,0.218681097,-0.409910828,0.999844313,0.739540935,0.434740841,-0.102802143,0.998254955,0.483651221,0.264755517,-0.272310168,0.999187648,0.703097761,0.723491013,0.024630081,0.684311807,0.332009673,0.511432111,-0.264151037,0.985083401,0.604468822,0.96667701,-0.060780317,0.398397952,0.255826056,0.787310898,-0.338285893,0.825048387,0.590339482,1.028733015,-0.090795472,0.337326854,0.228446603,0.86990869,-0.368233889,0.709283829,0.575011015,1.032156587,-0.1299766,0.349636108,0.247992232,0.889680982,-0.411999285,0.72139138,0.578166187,0.995190263,-0.078780539,0.381299525,0.262162894,0.866659045,-0.355434239,0.739604712,0.549155533,0.910125852,0.048897248,0.989766836,0.372390449,0.848718345,-0.047884487,0.990534961,0.475548744,1.307409048,-0.006827263,0.356779426,0.329670966,1.25224328,0.023420233,0.322024912,0.427143723,1.615066171,0.489235103,0.057888716,0.273740828,1.569945216,0.368711174,0.072943665,0.421096742,1.657425046,0.523115039,0.073009558,0.25875327,1.615525842,0.392025292,0.079309449,0.383672804,1.746066928,0.311905086,0.032918405,0.255077779,1.692994833,0.127714127,0.046702154
Left,0.68369323,0.199444667,-0.433570236,0.999006808,0.711498201,0.169549927,-0.418207496,0.997364759,0.722258925,0.174730331,-0.418252945,0.996514142,0.732696652,0.179894149,-0.418410957,0.9952721,0.679909468,0.15233779,-0.43326816,0.998338938,0.668124676,0.145888045,-0.433276176,0.998403072,0.65647471,0.140328556,-0.433725297,0.998462975,0.741136193,0.196423709,-0.228856176,0.993682742,0.628931999,0.141590253,-0.295280665,0.999345541,0.687395811,0.242419094,-0.352782488,0.999487996,0.649915159,0.222965032,-0.371807158,0.999842286,0.737407744,0.42932719,-0.056095093,0.998335779,0.484823614,0.266595304,-0.248109981,0.999260128,0.701657653,0.714264572,0.089247167,0.693712711,0.33187148,0.514008284,-0.240957409,0.984666884,0.612341762,0.920204997,-0.007426145,0.387071967,0.26431793,0.792268574,-0.344177336,0.817351401,0.599877298,0.968683541,-0.03593345,0.329757541,0.235634536,0.872669578,-0.371286243,0.702037573,0.58475554,0.968499959,-0.071657442,0.343367517,0.249799162,0.890981019,-0.42647475,0.716516793,0.585443854,0.934028625,-0.02535291,0.376042187,0.267259389,0.866824508,-0.365933299,0.736728489,0.548913598,0.919147789,0.07225769,0.987677038,0.372959495,0.859933734,-0.071194611,0.989443898,0.476017237,1.310865641,0.037034482,0.353410363,0.332932293,1.263233185,0.006353538,0.319397926,0.419583023,1.629559159,0.445303112,0.055158291,0.270050615,1.584329247,0.297611147,0.068473294,0.408525884,1.675462842,0.470493406,0.069393799,0.247652575,1.625413895,0.316772848,0.073468119,0.393732011,1.754324436,0.264416754,0.031939056,0.260109425,1.711244106,0.0602782,0.043739092
